Memsize: 4096, Stride: 4 bytes, time: 22.000000 
Memsize: 8192, Stride: 4 bytes, time: 21.000000 
Memsize: 16384, Stride: 4 bytes, time: 19.000000 
Memsize: 32768, Stride: 4 bytes, time: 18.000000 
Memsize: 65536, Stride: 4 bytes, time: 18.000000 
Memsize: 131072, Stride: 4 bytes, time: 18.000000 
Memsize: 262144, Stride: 4 bytes, time: 18.000000 
Memsize: 524288, Stride: 4 bytes, time: 18.000000 
Memsize: 1048576, Stride: 4 bytes, time: 18.000000 
Memsize: 2097152, Stride: 4 bytes, time: 18.000000 
Memsize: 4194304, Stride: 4 bytes, time: 18.000000 
Memsize: 8388608, Stride: 4 bytes, time: 18.000000 
Memsize: 16777216, Stride: 4 bytes, time: 18.000000 
Memsize: 33554432, Stride: 4 bytes, time: 18.000000 
Memsize: 67108864, Stride: 4 bytes, time: 18.000000 
Memsize: 134217728, Stride: 4 bytes, time: 18.000000 
Memsize: 268435456, Stride: 4 bytes, time: 18.000000 
Memsize: 536870912, Stride: 4 bytes, time: 18.000000 
Memsize: 4096, Stride: 16 bytes, time: 18.000000 
Memsize: 8192, Stride: 16 bytes, time: 18.000000 
Memsize: 16384, Stride: 16 bytes, time: 18.000000 
Memsize: 32768, Stride: 16 bytes, time: 18.000000 
Memsize: 65536, Stride: 16 bytes, time: 18.000000 
Memsize: 131072, Stride: 16 bytes, time: 18.000000 
Memsize: 262144, Stride: 16 bytes, time: 18.000000 
Memsize: 524288, Stride: 16 bytes, time: 18.000000 
Memsize: 1048576, Stride: 16 bytes, time: 19.000000 
Memsize: 2097152, Stride: 16 bytes, time: 18.000000 
Memsize: 4194304, Stride: 16 bytes, time: 18.000000 
Memsize: 8388608, Stride: 16 bytes, time: 18.000000 
Memsize: 16777216, Stride: 16 bytes, time: 18.000000 
Memsize: 33554432, Stride: 16 bytes, time: 18.000000 
Memsize: 67108864, Stride: 16 bytes, time: 18.000000 
Memsize: 134217728, Stride: 16 bytes, time: 18.000000 
Memsize: 268435456, Stride: 16 bytes, time: 18.000000 
Memsize: 536870912, Stride: 16 bytes, time: 18.000000 
Memsize: 4096, Stride: 64 bytes, time: 18.000000 
Memsize: 8192, Stride: 64 bytes, time: 18.000000 
Memsize: 16384, Stride: 64 bytes, time: 18.000000 
Memsize: 32768, Stride: 64 bytes, time: 19.000000 
Memsize: 65536, Stride: 64 bytes, time: 23.000000 
Memsize: 131072, Stride: 64 bytes, time: 23.000000 
Memsize: 262144, Stride: 64 bytes, time: 23.000000 
Memsize: 524288, Stride: 64 bytes, time: 23.000000 
Memsize: 1048576, Stride: 64 bytes, time: 23.000000 
Memsize: 2097152, Stride: 64 bytes, time: 23.000000 
Memsize: 4194304, Stride: 64 bytes, time: 25.000000 
Memsize: 8388608, Stride: 64 bytes, time: 27.000000 
Memsize: 16777216, Stride: 64 bytes, time: 26.000000 
Memsize: 33554432, Stride: 64 bytes, time: 25.000000 
Memsize: 67108864, Stride: 64 bytes, time: 25.000000 
Memsize: 134217728, Stride: 64 bytes, time: 25.000000 
Memsize: 268435456, Stride: 64 bytes, time: 25.000000 
Memsize: 536870912, Stride: 64 bytes, time: 25.000000 
Memsize: 4096, Stride: 128 bytes, time: 18.000000 
Memsize: 8192, Stride: 128 bytes, time: 18.000000 
Memsize: 16384, Stride: 128 bytes, time: 18.000000 
Memsize: 32768, Stride: 128 bytes, time: 18.000000 
Memsize: 65536, Stride: 128 bytes, time: 23.000000 
Memsize: 131072, Stride: 128 bytes, time: 23.000000 
Memsize: 262144, Stride: 128 bytes, time: 23.000000 
Memsize: 524288, Stride: 128 bytes, time: 25.000000 
Memsize: 1048576, Stride: 128 bytes, time: 25.000000 
Memsize: 2097152, Stride: 128 bytes, time: 33.000000 
Memsize: 4194304, Stride: 128 bytes, time: 44.000000 
Memsize: 8388608, Stride: 128 bytes, time: 46.000000 
Memsize: 16777216, Stride: 128 bytes, time: 46.000000 
Memsize: 33554432, Stride: 128 bytes, time: 46.000000 
Memsize: 67108864, Stride: 128 bytes, time: 44.000000 
Memsize: 134217728, Stride: 128 bytes, time: 45.000000 
Memsize: 268435456, Stride: 128 bytes, time: 44.000000 
Memsize: 536870912, Stride: 128 bytes, time: 45.000000 
Memsize: 4096, Stride: 1024 bytes, time: 18.000000 
Memsize: 8192, Stride: 1024 bytes, time: 18.000000 
Memsize: 16384, Stride: 1024 bytes, time: 18.000000 
Memsize: 32768, Stride: 1024 bytes, time: 18.000000 
Memsize: 65536, Stride: 1024 bytes, time: 23.000000 
Memsize: 131072, Stride: 1024 bytes, time: 23.000000 
Memsize: 262144, Stride: 1024 bytes, time: 31.000000 
Memsize: 524288, Stride: 1024 bytes, time: 45.000000 
Memsize: 1048576, Stride: 1024 bytes, time: 45.000000 
Memsize: 2097152, Stride: 1024 bytes, time: 67.000000 
Memsize: 4194304, Stride: 1024 bytes, time: 128.000000 
Memsize: 8388608, Stride: 1024 bytes, time: 129.000000 
Memsize: 16777216, Stride: 1024 bytes, time: 120.000000 
Memsize: 33554432, Stride: 1024 bytes, time: 98.000000 
Memsize: 67108864, Stride: 1024 bytes, time: 98.000000 
Memsize: 134217728, Stride: 1024 bytes, time: 108.000000 
Memsize: 268435456, Stride: 1024 bytes, time: 106.000000 
Memsize: 536870912, Stride: 1024 bytes, time: 107.000000 
Memsize: 4096, Stride: 2048 bytes, time: 18.000000 
Memsize: 8192, Stride: 2048 bytes, time: 18.000000 
Memsize: 16384, Stride: 2048 bytes, time: 18.000000 
Memsize: 32768, Stride: 2048 bytes, time: 18.000000 
Memsize: 65536, Stride: 2048 bytes, time: 28.000000 
Memsize: 131072, Stride: 2048 bytes, time: 27.000000 
Memsize: 262144, Stride: 2048 bytes, time: 42.000000 
Memsize: 524288, Stride: 2048 bytes, time: 54.000000 
Memsize: 1048576, Stride: 2048 bytes, time: 54.000000 
Memsize: 2097152, Stride: 2048 bytes, time: 79.000000 
Memsize: 4194304, Stride: 2048 bytes, time: 159.000000 
Memsize: 8388608, Stride: 2048 bytes, time: 171.000000 
Memsize: 16777216, Stride: 2048 bytes, time: 174.000000 
Memsize: 33554432, Stride: 2048 bytes, time: 168.000000 
Memsize: 67108864, Stride: 2048 bytes, time: 169.000000 
Memsize: 134217728, Stride: 2048 bytes, time: 188.000000 
Memsize: 268435456, Stride: 2048 bytes, time: 179.000000 
Memsize: 536870912, Stride: 2048 bytes, time: 188.000000 
Memsize: 4096, Stride: 1048576 bytes, time: 18.000000 
Memsize: 8192, Stride: 1048576 bytes, time: 18.000000 
Memsize: 16384, Stride: 1048576 bytes, time: 18.000000 
Memsize: 32768, Stride: 1048576 bytes, time: 18.000000 
Memsize: 65536, Stride: 1048576 bytes, time: 18.000000 
Memsize: 131072, Stride: 1048576 bytes, time: 18.000000 
Memsize: 262144, Stride: 1048576 bytes, time: 18.000000 
Memsize: 524288, Stride: 1048576 bytes, time: 18.000000 
Memsize: 1048576, Stride: 1048576 bytes, time: 18.000000 
Memsize: 2097152, Stride: 1048576 bytes, time: 18.000000 
Memsize: 4194304, Stride: 1048576 bytes, time: 18.000000 
Memsize: 8388608, Stride: 1048576 bytes, time: 35.000000 
Memsize: 16777216, Stride: 1048576 bytes, time: 38.000000 
Memsize: 33554432, Stride: 1048576 bytes, time: 189.000000 
Memsize: 67108864, Stride: 1048576 bytes, time: 204.000000 
Memsize: 134217728, Stride: 1048576 bytes, time: 211.000000 
Memsize: 268435456, Stride: 1048576 bytes, time: 217.000000 
Memsize: 536870912, Stride: 1048576 bytes, time: 215.000000 
Memsize: 4096, Stride: 2097152 bytes, time: 18.000000 
Memsize: 8192, Stride: 2097152 bytes, time: 18.000000 
Memsize: 16384, Stride: 2097152 bytes, time: 18.000000 
Memsize: 32768, Stride: 2097152 bytes, time: 18.000000 
